"","make","transmission","engine_displacement_cm3","power_cv","power_ice_kw","avg_wltp_consumption_l_100km","avg_wltp_emissions_gCO2_km","length_mm","width_mm","height_mm","gross_vehicle_weight_rating_kg","total_seating","fuel_economy_index","electric_consumption_kwh_100km","battery_capacity_kwh","vehicle_type","engine"
"14109","Toyota","SC",0,0,0,0.84,0,4975,1885,1480,2415,5,"Sin clasificación",NA,NA,"Ligeros","Fosiles"
"14110","Toyota","A",1798,97.83,72,4.55,104,4575,1760,1475,1845,5,"A",NA,NA,"Ligeros","Híbridos"
"14111","Toyota","A",1798,97.83,72,4.4,101,4575,1760,1470,1790,5,"A",NA,NA,"Ligeros","Híbridos"
"14112","Toyota","A",1798,97.83,72,1.37,31,4645,1760,1470,1930,5,"A",NA,NA,"Ligeros","Híbridos"
"14113","Toyota","A",1798,97.83,72,1.37,31,4645,1760,1470,1930,5,"A",NA,NA,"Ligeros","Híbridos"
"14114","Toyota","A",1798,99.18,73,5.85,134,4645,1775,1575,2115,7,"B",NA,NA,"Ligeros","Híbridos"
"14115","Toyota","A",1798,99.18,73,5.85,134,4645,1775,1575,2115,7,"B",NA,NA,"Ligeros","Híbridos"
"14116","Toyota","A",1798,99.18,73,5.85,134,4645,1775,1575,2115,7,"B",NA,NA,"Ligeros","Híbridos"
"14117","Toyota","A",1798,99.18,73,5.85,134,4645,1775,1575,2115,7,"B",NA,NA,"Ligeros","Híbridos"
"14118","Toyota","M",1499,101.9,75,5.6,147,4403,1848,1880,2345,2,"Sin clasificación",NA,NA,"Ligeros","Fosiles"
"14119","Toyota","M",1499,101.9,75,5.6,147,4403,1848,1880,1985,2,"Sin clasificación",NA,NA,"Ligeros","Fosiles"
"14120","Toyota","M",1499,101.9,75,5.47,143,4403,1848,1880,2020,2,"Sin clasificación",NA,NA,"Ligeros","Fosiles"
"14121","Toyota","M",1499,101.9,75,5.6,147,4753,1848,1880,2355,2,"Sin clasificación",NA,NA,"Ligeros","Fosiles"
"14122","Toyota","M",1499,101.9,75,5.47,143,4403,1848,1880,2390,3,"Sin clasificación",NA,NA,"Ligeros","Fosiles"
"14123","Toyota","M",1499,101.9,75,5.47,143,4403,1848,1880,2370,2,"Sin clasificación",NA,NA,"Ligeros","Fosiles"
"14124","Toyota","M",1499,101.9,75,5.47,143,4753,1848,1880,2380,2,"Sin clasificación",NA,NA,"Ligeros","Fosiles"
"14125","Toyota","M",1499,101.9,75,5.6,147,4403,1848,1880,2365,3,"Sin clasificación",NA,NA,"Ligeros","Fosiles"
"14126","Toyota","M",1499,130.43,96,5.69,149,4403,1848,1880,2370,2,"Sin clasificación",NA,NA,"Ligeros","Fosiles"
"14127","Toyota","M",1499,130.43,96,5.53,145,4753,1848,1880,2380,2,"Sin clasificación",NA,NA,"Ligeros","Fosiles"
"14128","Toyota","M",1499,130.43,96,5.69,149,4753,1848,1880,2380,2,"Sin clasificación",NA,NA,"Ligeros","Fosiles"
"14129","Toyota","M",1499,130.43,96,5.53,145,4403,1848,1880,2370,2,"Sin clasificación",NA,NA,"Ligeros","Fosiles"
"14130","Toyota","M",1499,130.43,96,5.53,145,4753,1848,1880,2400,3,"Sin clasificación",NA,NA,"Ligeros","Fosiles"
"14131","Toyota","M",1499,130.43,96,5.69,149,4753,1848,1880,2400,3,"Sin clasificación",NA,NA,"Ligeros","Fosiles"
"14132","Toyota","M",1499,76.09,56,5.52,145,4403,1848,1880,1970,2,"Sin clasificación",NA,NA,"Ligeros","Fosiles"
"14133","Toyota","M",1499,101.9,75,5.6,147,4403,1848,1880,2345,2,"Sin clasificación",NA,NA,"Ligeros","Fosiles"
"14134","Toyota","M",1499,130.43,96,5.7,150,4403,1848,1880,2370,2,"Sin clasificación",NA,NA,"Ligeros","Fosiles"
"14135","Toyota","M",1499,76.09,56,5.6,147,4403,1848,1880,1970,2,"Sin clasificación",NA,NA,"Ligeros","Fosiles"
"14136","Toyota","M",1499,101.9,75,5.6,147,4403,1848,1880,1985,2,"Sin clasificación",NA,NA,"Ligeros","Fosiles"
"14137","Toyota","M",1499,101.9,75,5.6,147,4403,1848,1880,2365,3,"Sin clasificación",NA,NA,"Ligeros","Fosiles"
"14138","Toyota","M",1499,101.9,75,5.6,147,4753,1848,1880,2355,2,"Sin clasificación",NA,NA,"Ligeros","Fosiles"
"14139","Toyota","M",1499,130.43,96,5.7,150,4753,1848,1880,2380,2,"Sin clasificación",NA,NA,"Ligeros","Fosiles"
"14140","Toyota","M",1499,130.43,96,5.7,150,4753,1848,1880,2400,3,"Sin clasificación",NA,NA,"Ligeros","Fosiles"
"14141","Toyota","SC",0,0,0,NA,0,4753,1848,1880,2385,2,"Sin clasificación",19,50,"Ligeros","Eléctricos"
"14142","Toyota","SC",0,0,0,NA,0,4753,1848,1880,2400,3,"Sin clasificación",19,50,"Ligeros","Eléctricos"
"14143","Toyota","SC",0,0,0,NA,0,4403,1848,1880,2390,2,"Sin clasificación",19,50,"Ligeros","Eléctricos"
"14144","Toyota","SC",0,0,0,NA,0,4403,1848,1880,2410,3,"Sin clasificación",19,50,"Ligeros","Eléctricos"
"14145","Toyota","M",1499,130.43,96,5.65,149,4403,1848,1880,2080,5,"D",NA,NA,"Ligeros","Fosiles"
"14146","Toyota","A",1499,130.43,96,5.8,152,4403,1848,1880,2080,5,"D",NA,NA,"Ligeros","Fosiles"
"14147","Toyota","M",1499,101.9,75,5.6,147,4403,1848,1880,2080,5,"D",NA,NA,"Ligeros","Fosiles"
"14148","Toyota","M",1499,101.9,75,5.4,142,4403,1848,1880,2120,5,"D",NA,NA,"Ligeros","Fosiles"
"14149","Toyota","M",1499,130.43,96,5.43,142,4403,1848,1880,2130,5,"D",NA,NA,"Ligeros","Fosiles"
"14150","Toyota","M",1499,130.43,96,5.65,149,4753,1848,1880,2140,5,"C",NA,NA,"Ligeros","Fosiles"
"14151","Toyota","M",1499,101.9,75,5.6,147,4753,1848,1880,2100,5,"C",NA,NA,"Ligeros","Fosiles"
"14152","Toyota","M",1499,130.43,96,5.65,149,4753,1848,1880,2260,7,"C",NA,NA,"Ligeros","Fosiles"
"14153","Toyota","M",1499,101.9,75,5.4,142,4753,1848,1880,2140,5,"C",NA,NA,"Ligeros","Fosiles"
"14154","Toyota","M",1499,130.43,96,5.43,142,4753,1848,1880,2140,5,"C",NA,NA,"Ligeros","Fosiles"
"14155","Toyota","M",1499,130.43,96,5.43,142,4753,1848,1880,2310,7,"C",NA,NA,"Ligeros","Fosiles"
"14156","Toyota","M",1499,101.9,75,5.41,142,4753,1848,1880,2140,5,"C",NA,NA,"Ligeros","Fosiles"
"14157","Toyota","M",1499,101.9,75,5.41,142,4403,1848,1880,2120,5,"D",NA,NA,"Ligeros","Fosiles"
"14158","Toyota","M",1499,130.43,96,5.43,142,4753,1848,1880,2140,5,"C",NA,NA,"Ligeros","Fosiles"
"14159","Toyota","M",1499,130.43,96,5.43,142,4753,1848,1880,2310,7,"C",NA,NA,"Ligeros","Fosiles"
"14160","Toyota","M",1499,130.43,96,5.43,142,4403,1848,1880,2130,5,"D",NA,NA,"Ligeros","Fosiles"
"14161","Toyota","A",1499,130.43,96,5.72,150,4403,1848,1880,2100,5,"D",NA,NA,"Ligeros","Fosiles"
"14162","Toyota","M",1499,101.9,75,5.6,147,4753,1848,1880,2100,5,"C",NA,NA,"Ligeros","Fosiles"
"14163","Toyota","SC",0,0,0,NA,0,4753,1848,1880,2320,5,"Sin clasificación",19,50,"Ligeros","Eléctricos"
"14164","Toyota","SC",0,0,0,NA,0,4753,1848,1880,2440,7,"Sin clasificación",19,50,"Ligeros","Eléctricos"
"14165","Toyota","SC",0,0,0,NA,0,4403,1848,1880,2290,5,"Sin clasificación",19,50,"Ligeros","Eléctricos"
"14166","Toyota","SC",0,0,0,NA,0,4753,1848,1880,2440,7,"Sin clasificación",19,50,"Ligeros","Eléctricos"
"14167","Toyota","SC",0,0,0,NA,0,4403,1848,1880,2290,5,"Sin clasificación",19,50,"Ligeros","Eléctricos"
"14168","Toyota","A",1199,130.43,96,7.2,163,4403,1848,1880,2090,5,"D",NA,NA,"Ligeros","Fosiles"
"14169","Toyota","M",1199,110.05,81,7.1,161,4403,1848,1880,2050,5,"D",NA,NA,"Ligeros","Fosiles"
"14170","Toyota","A",1199,130.43,96,7.2,163,4753,1848,1880,2270,7,"C",NA,NA,"Ligeros","Fosiles"
"14171","Toyota","M",1199,110.05,81,6.77,153,4403,1848,1880,2050,5,"C",NA,NA,"Ligeros","Fosiles"
"14172","Toyota","A",1199,130.43,96,7.07,159,4403,1848,1880,2090,5,"D",NA,NA,"Ligeros","Fosiles"
"14173","Toyota","A",1199,130.43,96,7.07,159,4403,1848,1880,2090,5,"D",NA,NA,"Ligeros","Fosiles"
"14174","Toyota","A",1199,130.43,96,7.07,159,4403,1848,1880,2090,5,"D",NA,NA,"Ligeros","Fosiles"
"14175","Toyota","A",1199,130.43,96,7.07,159,4753,1848,1880,2270,7,"C",NA,NA,"Ligeros","Fosiles"
"14176","Toyota","A",1499,130.43,96,5.8,152,4403,1848,1880,2080,5,"D",NA,NA,"Ligeros","Fosiles"
"14177","Toyota","M",1499,130.43,96,5.43,142,4403,1848,1880,2130,5,"D",NA,NA,"Ligeros","Fosiles"
"14178","Toyota","M",1499,130.43,96,5.43,142,4403,1848,1880,2130,5,"D",NA,NA,"Ligeros","Fosiles"
"14179","Toyota","A",1499,130.43,96,5.8,152,4753,1848,1880,2260,7,"C",NA,NA,"Ligeros","Fosiles"
"14180","Toyota","M",1499,130.43,96,5.43,142,4753,1848,1880,2310,7,"C",NA,NA,"Ligeros","Fosiles"
"14181","Toyota","M",1499,130.43,96,5.43,142,4753,1848,1880,2310,7,"C",NA,NA,"Ligeros","Fosiles"
"14182","Toyota","M",1499,130.43,96,5.43,142,4753,1848,1880,2310,7,"C",NA,NA,"Ligeros","Fosiles"
"14183","Toyota","A",1499,130.43,96,5.72,150,4753,1848,1880,2300,7,"C",NA,NA,"Ligeros","Fosiles"
"14184","Toyota","M",1199,110.05,81,6.77,153,4403,1848,1880,2050,5,"C",NA,NA,"Ligeros","Fosiles"
"14185","Toyota","M",1499,130.43,96,5.43,142,4403,1848,1880,2130,5,"D",NA,NA,"Ligeros","Fosiles"
"14186","Toyota","A",1499,130.43,96,5.72,150,4403,1848,1880,2100,5,"D",NA,NA,"Ligeros","Fosiles"
"14187","Toyota","M",1997,122.28,90,9.15,241,4815,1920,1894,3100,3,"Sin clasificación",NA,NA,"Ligeros","Fosiles"
"14188","Toyota","M",1997,122.28,90,9.19,241,5212,1970,2600,3100,3,"Sin clasificación",NA,NA,"Ligeros","Fosiles"
"14189","Toyota","M",1997,122.28,90,7.45,195,5309,1920,1940,2940,6,"Sin clasificación",NA,NA,"Ligeros","Fosiles"
"14190","Toyota","M",1499,122.28,90,6.35,168,4959,1920,1899,2680,6,"Sin clasificación",NA,NA,"Ligeros","Fosiles"
"14191","Toyota","M",1997,122.28,90,7.44,195,5309,1920,1940,2960,6,"Sin clasificación",NA,NA,"Ligeros","Fosiles"
"14192","Toyota","M",1499,119.57,88,6.4,168,4959,1920,1899,2680,6,"Sin clasificación",NA,NA,"Ligeros","Fosiles"
"14193","Toyota","SC",0,0,0,NA,0,4609,1920,1910,2840,3,"Sin clasificación",28.2,50,"Ligeros","Eléctricos"
"14194","Toyota","SC",0,0,0,NA,0,5309,1920,1940,3055,3,"Sin clasificación",29.5,75,"Ligeros","Eléctricos"
"14195","Toyota","SC",0,0,0,NA,0,4959,1920,1899,2875,3,"Sin clasificación",28.2,50,"Ligeros","Eléctricos"
"14196","Toyota","SC",0,0,0,NA,0,4959,1920,1899,3025,3,"Sin clasificación",29.5,75,"Ligeros","Eléctricos"
"14197","Toyota","SC",0,0,0,NA,0,4959,1920,1940,3100,3,"Sin clasificación",28.2,50,"Ligeros","Eléctricos"
"14198","Toyota","SC",0,0,0,NA,0,5309,1920,1948,3055,3,"Sin clasificación",25,75,"Ligeros","Eléctricos"
"14199","Toyota","SC",0,0,0,NA,0,4959,1920,1940,2875,3,"Sin clasificación",23,50,"Ligeros","Eléctricos"
"14200","Toyota","SC",0,0,0,NA,0,4959,1920,1940,3025,3,"Sin clasificación",25,75,"Ligeros","Eléctricos"
"14201","Toyota","SC",0,0,0,NA,0,4959,1920,1940,3100,3,"Sin clasificación",23,50,"Ligeros","Eléctricos"
"14202","Toyota","M",1499,101.9,75,6.85,180,4609,1920,1910,2620,3,"Sin clasificación",NA,NA,"Ligeros","Fosiles"
"14203","Toyota","M",1997,122.28,90,7.45,195,5309,1920,1940,3100,3,"Sin clasificación",NA,NA,"Ligeros","Fosiles"
"14204","Toyota","M",1499,101.9,75,6.85,180,4959,1920,1899,2635,3,"Sin clasificación",NA,NA,"Ligeros","Fosiles"
"14205","Toyota","M",1499,122.28,90,6.35,168,4959,1920,1899,2660,3,"Sin clasificación",NA,NA,"Ligeros","Fosiles"
"14206","Toyota","M",1997,122.28,90,7.35,193,4959,1920,1940,3100,3,"Sin clasificación",NA,NA,"Ligeros","Fosiles"
"14207","Toyota","M",1499,101.9,75,6.86,180,4609,1920,1910,2620,3,"Sin clasificación",NA,NA,"Ligeros","Fosiles"
"14208","Toyota","M",1997,122.28,90,7.44,195,5309,1920,1940,3100,3,"Sin clasificación",NA,NA,"Ligeros","Fosiles"
"14209","Toyota","M",1499,101.9,75,6.86,180,4959,1920,1899,2635,3,"Sin clasificación",NA,NA,"Ligeros","Fosiles"
"14210","Toyota","M",1499,119.57,88,6.4,168,4959,1920,1899,2660,3,"Sin clasificación",NA,NA,"Ligeros","Fosiles"
"14211","Toyota","M",1997,122.28,90,7.36,193,4959,1920,1940,3100,3,"Sin clasificación",NA,NA,"Ligeros","Fosiles"
"14212","Toyota","M",1997,144.02,106,7.19,189,4959,1920,1940,2810,9,"E",NA,NA,"Ligeros","Fosiles"
"14213","Toyota","M",1499,119.57,88,6.5,170,4609,1920,1910,2690,6,"D",NA,NA,"Ligeros","Fosiles"
"14214","Toyota","M",1499,101.9,75,6.55,172,4609,1920,1910,2685,6,"E",NA,NA,"Ligeros","Fosiles"
"14215","Toyota","M",1499,119.57,88,6.5,170,4959,1920,1899,2760,9,"D",NA,NA,"Ligeros","Fosiles"
"14216","Toyota","M",1499,101.9,75,6.55,172,4959,1920,1899,2745,6,"D",NA,NA,"Ligeros","Fosiles"
"14217","Toyota","M",1499,122.28,90,6.5,171,4959,1920,1899,2755,6,"D",NA,NA,"Ligeros","Fosiles"
"14218","Toyota","SC",0,0,0,NA,0,4959,1920,1940,3100,9,"Sin clasificación",25,75,"Ligeros","Eléctricos"
"14219","Toyota","SC",0,0,0,NA,0,4959,1920,1940,3015,9,"Sin clasificación",23,50,"Ligeros","Eléctricos"
"14220","Toyota","SC",0,0,0,NA,0,4959,1920,1899,3015,9,"Sin clasificación",23,50,"Ligeros","Eléctricos"
"14221","Toyota","SC",0,0,0,NA,0,5309,1920,1948,3100,8,"Sin clasificación",25,75,"Ligeros","Eléctricos"
"14222","Toyota","SC",0,0,0,NA,0,5309,1920,1899,3100,8,"Sin clasificación",25,75,"Ligeros","Eléctricos"
"14223","Toyota","SC",0,0,0,NA,0,4959,1920,1940,2950,8,"Sin clasificación",23,50,"Ligeros","Eléctricos"
"14224","Toyota","SC",0,0,0,NA,0,4959,1920,1940,3100,8,"Sin clasificación",25,75,"Ligeros","Eléctricos"
"14225","Toyota","SC",0,0,0,NA,0,4959,1920,1899,2950,8,"Sin clasificación",23,50,"Ligeros","Eléctricos"
"14226","Toyota","SC",0,0,0,NA,0,4959,1920,1899,3100,8,"Sin clasificación",25,75,"Ligeros","Eléctricos"
"14227","Toyota","SC",0,0,0,NA,0,5309,1920,1948,3030,9,"Sin clasificación",23,50,"Ligeros","Eléctricos"
"14228","Toyota","SC",0,0,0,NA,0,5309,1920,1948,3100,9,"Sin clasificación",25,75,"Ligeros","Eléctricos"
"14229","Toyota","SC",0,0,0,NA,0,5309,1920,1948,3100,8,"Sin clasificación",25,75,"Ligeros","Eléctricos"
"14230","Toyota","SC",0,0,0,NA,0,5309,1920,1899,3030,9,"Sin clasificación",23,50,"Ligeros","Eléctricos"
"14231","Toyota","SC",0,0,0,NA,0,5309,1920,1899,3100,9,"Sin clasificación",25,75,"Ligeros","Eléctricos"
"14232","Toyota","SC",0,0,0,NA,0,4959,1920,1940,3100,9,"Sin clasificación",25,75,"Ligeros","Eléctricos"
"14233","Toyota","SC",0,0,0,NA,0,4959,1920,1899,3015,9,"Sin clasificación",23,50,"Ligeros","Eléctricos"
"14234","Toyota","SC",0,0,0,NA,0,4959,1920,1899,3100,9,"Sin clasificación",25,75,"Ligeros","Eléctricos"
"14235","Toyota","SC",0,0,0,NA,0,5309,1920,1948,3065,7,"Sin clasificación",25,75,"Ligeros","Eléctricos"
"14236","Toyota","SC",0,0,0,NA,0,4959,1920,1940,3060,7,"Sin clasificación",25,75,"Ligeros","Eléctricos"
"14237","Toyota","M",1997,144.02,106,7.19,189,5309,1920,1948,2790,8,"D",NA,NA,"Ligeros","Fosiles"
"14238","Toyota","A",1997,176.63,130,7.37,193,5309,1920,1948,2830,8,"D",NA,NA,"Ligeros","Fosiles"
"14239","Toyota","M",1997,144.02,106,7.19,189,4959,1920,1940,2760,8,"E",NA,NA,"Ligeros","Fosiles"
"14240","Toyota","A",1997,176.63,130,7.37,193,4959,1920,1940,2800,8,"E",NA,NA,"Ligeros","Fosiles"
"14241","Toyota","M",1499,122.28,90,6.5,171,4609,1920,1910,2650,8,"E",NA,NA,"Ligeros","Fosiles"
"14242","Toyota","M",1499,119.57,88,6.5,170,4609,1920,1910,2660,8,"D",NA,NA,"Ligeros","Fosiles"
"14243","Toyota","M",1997,149.46,110,7.25,191,5309,1920,1899,2785,8,"D",NA,NA,"Ligeros","Fosiles"
"14244","Toyota","A",1997,176.63,130,7.5,196,5309,1920,1899,2800,8,"D",NA,NA,"Ligeros","Fosiles"
"14245","Toyota","M",1997,144.02,106,7.19,189,5309,1920,1899,2790,8,"D",NA,NA,"Ligeros","Fosiles"
"14246","Toyota","A",1997,144.02,106,7.31,192,5309,1920,1899,2830,8,"D",NA,NA,"Ligeros","Fosiles"
"14247","Toyota","A",1997,144.02,106,7.31,192,5309,1920,1899,2830,8,"D",NA,NA,"Ligeros","Fosiles"
"14248","Toyota","A",1997,176.63,130,7.25,190,5309,1920,1899,2830,8,"D",NA,NA,"Ligeros","Fosiles"
"14249","Toyota","M",1499,122.28,90,6.5,171,4959,1920,1899,2695,8,"D",NA,NA,"Ligeros","Fosiles"
"14250","Toyota","M",1997,149.46,110,7.25,191,4959,1920,1899,2750,8,"E",NA,NA,"Ligeros","Fosiles"
"14251","Toyota","A",1997,176.63,130,7.5,196,4959,1920,1899,2780,8,"E",NA,NA,"Ligeros","Fosiles"
"14252","Toyota","M",1499,119.57,88,6.5,170,4959,1920,1899,2700,8,"D",NA,NA,"Ligeros","Fosiles"
"14253","Toyota","M",1997,144.02,106,7.19,189,4959,1920,1899,2760,8,"E",NA,NA,"Ligeros","Fosiles"
"14254","Toyota","A",1997,144.02,106,7.31,192,4959,1920,1899,2800,8,"E",NA,NA,"Ligeros","Fosiles"
"14255","Toyota","M",1997,144.02,106,7.19,189,4959,1920,1899,2760,8,"E",NA,NA,"Ligeros","Fosiles"
"14256","Toyota","A",1997,144.02,106,7.31,192,4959,1920,1899,2800,8,"E",NA,NA,"Ligeros","Fosiles"
"14257","Toyota","A",1997,176.63,130,7.25,190,4959,1920,1899,2800,8,"E",NA,NA,"Ligeros","Fosiles"
"14258","Toyota","A",1997,144.02,106,7.35,193,4959,1920,1940,2800,8,"E",NA,NA,"Ligeros","Fosiles"
"14259","Toyota","A",1997,176.63,130,7.37,193,4959,1920,1940,2800,8,"E",NA,NA,"Ligeros","Fosiles"
"14260","Toyota","M",1997,144.02,106,7.19,189,5309,1920,1948,2790,8,"D",NA,NA,"Ligeros","Fosiles"
"14261","Toyota","A",1997,176.63,130,7.37,193,5309,1920,1948,2830,8,"D",NA,NA,"Ligeros","Fosiles"
"14262","Toyota","M",1997,144.02,106,7.19,189,4959,1920,1940,2760,8,"E",NA,NA,"Ligeros","Fosiles"
"14263","Toyota","M",1997,144.02,106,7.19,189,4959,1920,1940,2810,9,"E",NA,NA,"Ligeros","Fosiles"
"14264","Toyota","M",1499,119.57,88,6.5,170,4609,1920,1910,2690,9,"D",NA,NA,"Ligeros","Fosiles"
"14265","Toyota","M",1499,122.28,90,6.5,171,5309,1920,1899,2785,9,"C",NA,NA,"Ligeros","Fosiles"
"14266","Toyota","A",1997,122.28,90,7.3,191,5309,1920,1940,3100,8,"D",NA,NA,"Ligeros","Fosiles"
"14267","Toyota","M",1997,149.46,110,7.25,191,5309,1920,1899,2785,8,"D",NA,NA,"Ligeros","Fosiles"
"14268","Toyota","M",1499,119.57,88,6.5,170,5309,1920,1899,2790,9,"C",NA,NA,"Ligeros","Fosiles"
"14269","Toyota","A",1997,144.02,106,7.31,192,5309,1920,1899,2830,8,"D",NA,NA,"Ligeros","Fosiles"
"14270","Toyota","M",1499,122.28,90,6.5,171,4959,1920,1899,2755,9,"D",NA,NA,"Ligeros","Fosiles"
"14271","Toyota","M",1997,149.46,110,7.25,191,4959,1920,1899,2750,8,"E",NA,NA,"Ligeros","Fosiles"
"14272","Toyota","M",1499,119.57,88,6.5,170,4959,1920,1899,2760,9,"D",NA,NA,"Ligeros","Fosiles"
